Time,ObjName,PosX,PosY,PosZ,RotX,RotY,RotZ,ObjName,PosX,PosY,PosZ,RotX,RotY,RotZ
676,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
683,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
692,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
698,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
706,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
709,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
717,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
724,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
732,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
735,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
741,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
745,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
750,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
754,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
761,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
769,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
772,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
780,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
789,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
792,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
797,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
804,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
812,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
816,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
820,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
825,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
829,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
833,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
840,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
848,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
855,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
859,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
868,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
874,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0

